Habitat	motility	spore production	Genus name	species name	strain name
other	not indicated	no	Corynebacterium	caspium	M/106/00/5T
other	non-motile	no	Fastidiosipila	sanguinis	CCUG47711T
plant associated	non-motile	no	Algoriphagus	winogradskyi	KMM 3956T
seawater	non-motile	not indicated	Algoriphagus	winogradskyi	KMM 3956T
seawater	non-motile	not indicated	Algoriphagus	aquimarinus	KMM 3958T
seawater	non-motile	no	Algoriphagus	aquimarinus	KMM 3958T
plant associated	non-motile	no	Algoriphagus	chordae	KMM 3957T 
seawater	non-motile	not indicated	Algoriphagus	chordae	KMM 3957T
other	non-motile	no	Cloacibacterium	normanense	NRS1
other	gliding	no	Arenibacter	palladensis	KMM 3961
soil	__motile, but unspecified structure__	yes	Paenibacillus	cineris	LMG 18439T
other		no	Pseudomonas	psychrotolerans	C36T
other	non-motile	no	Sphingomonas	abaci	C42T
other	non-motile	no	Sphingomonas	panni	C52T
__freshwater (river, lake, pond)__	non-motile	not indicated	Algoriphagus	antarcticus	LMG21980T
hotspring	non-motile	not indicated	Thermosipho	atlanticus	DV1140T
other	flagella	not indicated	Vibrio	gigantis	LGP13T
seawater	flagella		Woodsholea	maritima	CM243T
human - skin	non-motile	no	Helcococcus	sueciensis	CCUG47334T
plant associated	flagella	no	Luteibacter	rhizovicinus	LJ96T
hypersaline environment	__motile, but unspecified structure__	yes	Methylohalobius	crimeensis	10KiT
plant associated	flagella	no	Pseudomonas	lurida	P513/18T
other	flagella	not indicated	Labrenzia	alexandrii	DFL-11T
other	flagella	not indicated	Labrenzia	alexandrii	DFL-11T
marine sediment	flagella	no	Hoeflea	phototrophica	DFL-43
other	non-motile	no	Loktanella	fryxellensis	LMG 22007T
other	non-motile	no	Loktanella 	vestfoldensis	LMG 22003T
__freshwater sediment (river, lake, pond__	flagella	no	Desulfovibrio	idahonensis	CY1T
food product	flagella	not indicated	Vibrio	crassostreae	LGP7T
built environment	non-motile	yes	Bacillus	indicus	Sd/3T
human - fecal	non-motile	no	Bacteroides	cellulosilyticus	CRE21T
other	non-motile	no	Pedobacter	himalayensis	HHS22T
other	non-motile	not indicated	Psychrobacter	vallis	CMS39T
other	non-motile	not indicated	Psychrobacter	aquaticus	CMS56T
other	non-motile	no	Uruburuella	suis	1258/02T
other	flagella	yes	Paenibacillus	antarcticus	20CMT
other	non-motile	no	Roseibaca	ekhonensis	EL-50T 
hypersaline environment	__motile, but unspecified structure__	no	Roseisalinus	antarcticus	EL-88T
other	non-motile	yes	Bacillus	aurantiacus	K1-5
other	not indicated	no	Streptococcus	halichoeri	CCUG48324T
other	not indicated	no	Streptococcus	 castoreus	M605815/03/2T
soil	non-motile	no	Arthrobacter	gangotriensis	Lz1yT
seawater	non-motile	no	Arthrobacter	kerguelensis	KGN15T
soil	flagella	not indicated	Pseudorhodoferax	caeni 	SB1T 
built environment	__motile, but unspecified structure__	yes	Bacillus	arsenicus	Con a/3T 
other	flagella	no	Arcobacter	cibarius	LMG21996T
other		no	Slackia	faecicanis	5WC12T 
marine sediment	__motile, but unspecified structure__	no	Marinobacter	sediminum	KMM3657T
seawater	flagella	no	Marinobacter	bryozoorum	KMM3840T
other	non-motile	no	Psychrobacter	maritimus	KMM3646T
marine sediment	non-motile	no	Psychrobacter	arenosus	KMM3659T
other	non-motile	no	Mycobacterium	florentinum	FI-93171T
__freshwater (river, lake, pond)__	non-motile	no	Arthrobacter	psychrophenolicus	A631T
hypersaline environment	__motile, but unspecified structure__	not indicated	Halomonas	organivorans	G-16.1T
other	non-motile	no	Brevibacterium	picturae	LMG 22061T
other	__motile, but unspecified structure__	no	Campylobacter	insulaenigrae	12927T
human - mouth	non-motile	not indicated	Acinetobacter	beijerinckii	NIPH838T
__freshwater (river, lake, pond)__	non-motile	not indicated	Adhaeribacter	aquaticus	MBRG1.5T
hypersaline environment	non-motile	not indicated	Jonesia	quinghaiensis	QH3A7T
food product	non-motile	not indicated	Enterococcus	saccharominimus	LMG21727T
__freshwater (river, lake, pond)__	not indicated	yes	Micromonospora	mirobrigensis	WA201T
soil	__motile, but unspecified structure__	yes	Bacillus	humi	LMG 22167T
soil	__motile, but unspecified structure__	yes	Bacillus	arvi	LMG 22165T
soil	__motile, but unspecified structure__	yes	Bacillus	arenosi	LMG 22166T
human - fecal	__motile, but unspecified structure__	not indicated	Yersinia 	aleksiciae	Y159T
other	gliding	no	Mariniflexile	fucanivorans	SW5
seawater	flagella	not indicated	Thalassobacter	stenotrophicus	5SM22T
food product	non-motile	no	Lactobacillus	zymae	LMG22198T
food product	non-motile	no	Lactobacillus	hammesii	LP38T
soil	__motile, but unspecified structure__	yes	Paenibacillus	wynnii	LMG 22176T
other	not indicated	no	Streptococcus	marimammalium	M54/01/1T 
plant associated	non-motile	no	Atopococcus	tabaci	CCUG48253T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Methylobacterium	aquaticum	GR16T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Methylobacterium	hispanicum	GP34T
other	non-motile	no	Arthrobacter	castelli	LMG22283T
other	non-motile	no	Arthrobacter	pigmenti	LMG22284T
other	non-motile	no	Arthrobacter	tecti	LMG22282T
other	non-motile	no	Arthrobacter	parietis	LMG22281T
other	non-motile	no	Arthrobacter	stackebrandtii	CCM2783T
human - mouth	non-motile	no	Actinomyces	dentalis	R18165T
other	non-motile	no	Nocardioides	oleivorans	BAS3T
other	non-motile	no	Microbacterium	oleivorans	BAS69T
soil	__motile, but unspecified structure__	no	Microbacterium	hydrocarbonoxydans	BNP48T
seawater	__motile, but unspecified structure__	no	Marinobacter 	maritimus	CK47T
soil	__motile, but unspecified structure__	yes	Brevibacillus	levickii	Logan B-1657T
hypersaline environment	flagella	yes	Thalassobacillus	devorans	 G-19.1T
other	non-motile	no	Suttonella	ornithocola	B6/99/2T
seawater		not indicated	Aquiflexum	balticum	BA160T
other	non-motile	not indicated	Mycobacterium	llatzerense	MG13
soil	non-motile	yes	Nonomuraea	kuesteri	GW14-1925T
seawater	flagella	not indicated	Jannaschia	rubra	4SM3T
seawater	non-motile	not indicated	Nereida	ignava	 2SM4T
other	not indicated	not indicated	Staphylococcus	pseudintermedius	LMG22219T
food product	non-motile	no	Leuconostoc	durionis	LMG 22556T
other	__motile, but unspecified structure__	yes	Bacillus	herbersteinensis	__D-1,5aT__
marine sediment	flagella	no	Sanguibacter	marinus	1-19T
plant associated	not indicated	yes	Micromonospora	saelicesensis	Lupac 09T
plant associated	not indicated	yes	Micromonospora	lupini	Lupac 14NT
__freshwater (river, lake, pond)__	non-motile	no	Roseomonas	lacus	TH-G33
other	flagella	not indicated	Marinitoga	hydrogenitolerans	AT1271T
other	flagella	no	Hoeflea	alexandrii	AM1V30
other	non-motile	no	Pedobacter	caeni	LMG 22862T
other	non-motile	no	Devosia	limi	LMG 22951T
other	__motile, but unspecified structure__	no	Arthrobacter	psychrochitiniphilus	GP3T
other	non-motile	yes	Kribbella	lupini	LU14
other	not indicated	no	Acaricomes	phytoseiuli	CSC
soil	non-motile		Dyadobacter	crusticola	crusticola
other	__motile, but unspecified structure__	yes	Bacillus	stratosphericus	41KF2a
other	__motile, but unspecified structure__	yes	Bacillus	altitudinis	41KF2b
other	__motile, but unspecified structure__	yes	Bacillus	aerius	24K
other	__motile, but unspecified structure__	yes	Bacillus	aerophilus	28K
seawater	__motile, but unspecified structure__	no	Marinomonas	polaris	CK13
seawater	__motile, but unspecified structure__	no	Marinomonas	polaris	CK13
other	__motile, but unspecified structure__	not indicated	Enterovibrio	coralii	LMG22228T
other	__motile, but unspecified structure__	not indicated	Photobacterium	rosenbergii	LMG22223T
soil	non-motile	no	Chryseobacterium 	taichungense	CC-TWGS1-8T
other	flagella	no	Rubellimicrobium 	thermophilum	 C-lvk-R2A-2
other	__motile, but unspecified structure__	no	Methylobacterium	variabile	GR3T
soil	non-motile	no	Microbacterium	paludicola	US15
soil	non-motile	no	Microbacterium	paludicola	US15
other	not indicated	not indicated	Rhodococcus	triatomae	IMMIBRIV-085T
other	non-motile	not indicated	Nocardia	elegans	IMMIBN-402T
soil	non-motile	not indicated	Isoptericola	hypogeus	HKI0342T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Serratia	ureilytica	 NiVa 51T 
other	non-motile	no	Catellicoccus 	marimammalium	M35/04/3
soil	not indicated	no	Mesorhizobium 	thiogangeticum	SJT
soil	non-motile	not indicated	Tetrathiobacter	kashmirensis	WT001T
soil	non-motile	yes	Catenulispora	acidiphila	ID139908
soil	non-motile	yes	Actinospica	acidiphila	GE134766
soil	non-motile	yes	Actinospica	robiniae	GE134769
NA	__motile, but unspecified structure__	not indicated	Chromobacterium	piscinae	LMG 3947T
other	__motile, but unspecified structure__	not indicated	Chromobacterium	pseudoviolaceum	LMG 3953T
other	non-motile	no	Lactobacillus	apodemi	ASB1
soil	flagella	no	Modestobacter	versicolor	CP153-2T
soil	__motile, but unspecified structure__	no	Patulibacter	americanus	CP177-2T
food product	non-motile	not indicated	Chryseobacterium	vrystaatense	 LMG 22846T
soil	non-motile	no	Belnapia	moabensis	CP2C
soil	non-motile	not indicated	Sphingomonas	desiccabilis	CP1DT
seawater	non-motile	not indicated	Enterococcus	aquimarinus	LMG 16607T
other	__motile, but unspecified structure__	no	Yangia 	pacifica	DX5-10
other	non-motile	no	Arcanobacterium	bialowiezense	1(W3/01)
other	non-motile	no	Arcanobacterium	bonasi	2(W106/04)
other	flagella	yes	Bacillus	plakortidis	P203T
other	__motile, but unspecified structure__	no	Methylobacterium	isbiliense	AR24T
other	non-motile	not indicated	Enterococcus	canintestini 	 LMG 13590T
seawater	non-motile	no	Rhodovulum	marinum	JA128
plant associated	not indicated	not indicated	Enterococcus	devriesei	LMG14595T
other	not indicated	yes	Williamsia	deligens	nIMMIBRIV-956
estuarine sediment	flagella	not indicated	Alcaligenes	aquatilis	LMG 22996T
__freshwater (river, lake, pond)__	non-motile	yes	Limnohabitans	curvus	MWH-C5
__freshwater (river, lake, pond)__	non-motile	not indicated	Limnohabitans	curvus	MWH-C5
plant associated	__motile, but unspecified structure__	not indicated	Burkholderia	rhizoxinica	HKI454T
soil	non-motile	not indicated	Streptomyces	marokkonensis	Ap1T 
other	not indicated	yes	Zygosaccharomyces	sapae	ABT301
other	__motile, but unspecified structure__	no	Planococcus	columbae	PgEx11T
marine sediment	flagella	not indicated	Tateyamaria	pelophila	SAM4
other	flagella	no	Tateyamaria	pelophila	SAM4
other	flagella	no	Thiorhodococcus	mannitoliphagus	WS
other	non-motile	no	Pediococcus	stilesii	LMG 23082
other	gliding	no	Larkinella	insperata	LMG 22510
other	__motile, but unspecified structure__	no	Polaromonas	aquatica	CCUG 39402
other	non-motile	yes	Enterococcus	silesiacus	W442
other	non-motile	yes	Enterococcus	termitis	LMG 8895
other	flagella	no	Rhodoblastus	sphagnicola	RS
other	__motile, but unspecified structure__	no	Methylbacterium	adhaesivum	AR27
other	__motile, but unspecified structure__	no	Methylobacterium	adhaesivum	AR27
other	not indicated	no	Chryseobacterium	piscium	LMG 23089
soil	non-motile	no	Leucobacter	iarius	40T
soil	not indicated	no	Providencia	vermicola	OP1
seawater	__motile, but unspecified structure__	yes	Gracilibacillus	orientalis	XH-63
plant associated	flagella	no	Ochrobactrum	oryzae	MTCC4195
other	non-motile	no	Effluviibacter	roseus	SRC-1
other	non-motile	yes	Vulcanibacillus 	modesticaldus	BR
other	__motile, but unspecified structure__	no	Acidovorax	caeni	R-24608
plant associated	non-motile	no	Rhodanobacter	spathiphylli	B39
soil	flagella	yes	Paucisalibacillus	globulus	B22
soil	non-motile	not indicated	Methanocella	arvoryzae	MRE50
other	non-motile	no	Pedobacter	aquatilis	AR107
__freshwater sediment (river, lake, pond__	__motile, but unspecified structure__	yes	Clostridium	schirmacherense	AP15
other	__motile, but unspecified structure__	no	Pseudomonas	borbori	LMG 23199
other	__motile, but unspecified structure__	no	Pseudomonas	peli	LMG 23201
marine sediment	non-motile	no	Halostagnicola	larsenii	XH-48
other	flagella	not indicated	Spongiibacter	marinus	HAL40b
other	non-motile	no	Pseudochrobactrum	saccharolyticum	CCUG 33852
other	flagella	not indicated	Amphritea	atlantica	M41
marine sediment	non-motile	not indicated	Brevibacterium	oceani	BBH7
marine sediment	not indicated	not indicated	Microbacterium	indicum	BBH6T
other	non-motile	not indicated	Brucella	pinnipedialis	NCTC 12890T
other	non-motile	not indicated	Brucella	ceti	NCTC 12891T
other	non-motile	no	Chryseobacterium	hispanicum	VP48
other	non-motile		Bryobacter	Bryobacter aggregatus	MPL3
other	non-motile	not indicated	Bryobacter	aggregatus	MPL3
soil	non-motile	not indicated	Zavarzinella	formosa	A10T
soil	flagella	not indicated	Schlesneria	paludicola	MPL7T
soil	non-motile	not indicated	Arthrobacter	phenanthrenivorans	Sphe3T
__freshwater (river, lake, pond)__	non-motile	not indicated	Flavobacterium	aquidurense	WB 1.1-56T
hotspring	gliding	not indicated	Flavobacterium	reichenbachii	WB 3.2-61T
other	non-motile	no	Pseudochrobactrum	asaccharolyticum	CCUG 46016
seawater	non-motile	no	Rhodobium	gokarnense	JA173T
seawater	non-motile	not indicated	Rhodovulum	visakhapatnamense	JA181T
__freshwater (river, lake, pond)__	non-motile	no	Rhodovulum	imhoffii	JA125T
__freshwater sediment (river, lake, pond__	not indicated	not indicated	Sphingobium	aromaticiconvertens	RW16T
other	__motile, but unspecified structure__	not indicated	Yersinia	similis	Y228
other	axial filament	not indicated	Treponema	isoptericolens	SPIT5
other	non-motile	yes	Desulfotomaculum	defluvii	A5LFS102
seawater	flagella	no	Halomonas	gomseomensis	M12T
seawater	flagella	no	Halomonas	janggokensis	M24T
seawater	flagella	no	Halomonas	salaria 	M27T
seawater	flagella	no	Halomonas	denitri•ÂÅcans	M29T
other	flagella	no	Arenimonas	daejeonensis	T7-07
soil	non-motile	not indicated	Sphingomonas	mucosissima	CP173-2T
human - fecal	non-motile	no	Bacteroides	xylanisolvens	XB1A
other	non-motile	not indicated	Aerococcus	suis 	1821/02T
other	non-motile	not indicated	Aerococcus	suis	1821/02T
other	non-motile	no	Chryseobacterium	ureilyticum	F-Fue-04IIIaaaa
other	non-motile	no	Chryseobacterium	pallidum	26-3St2b
other	non-motile	no	Chryseobacterium	gambrini	 5-1St1a
soil	flagella	yes	Planosporangium	flavigriseum	YIM 46034
food product	non-motile	no	Lactobacillus	namurensis	LMG23583T
hotspring	flagella	not indicated	Sulfurihydrogenibium	rodmanii	UZ3-5
hotspring	flagella		Thermocrinis	Thermocrinis minervae	CR11
hotspring	__motile, but unspecified structure__	not indicated	Thermocrinis	minervae	CR11
soil	__motile, but unspecified structure__	yes	Clostridium	nitrophenolicum	1DT
other	non-motile	not indicated	Chryseobacterium	hominis	NF802T
__freshwater (river, lake, pond)__	gliding	not indicated	Flavobacterium	hercynium	WB 4.2-33T
other	non-motile	no	Lactobacillus	secaliphilus	TMW 1.1309T
marine sediment	flagella	not indicated	Thiorhodococcus	bheemlicus	JA132T
seawater	non-motile	not indicated	Roseospira	visakhapatnamensis	JA131T
marine sediment	flagella	not indicated	Thiorhodococcus	kakinadensis	JA130T
soil	not indicated	not indicated	Williamsia	serinedens	IMMIB SR-4T
soil	gliding	no	Lysobacter	defluvii	IMMIBAPB-9T
hypersaline environment	non-motile	not indicated	Halochromatium	roseum	JA134T
marine sediment	flagella	not indicated	Roseospira 	goensis	JA135T
__freshwater (river, lake, pond)__	non-motile	no	Methylocystis	heyeri	H2T
food product	non-motile	no	Lactobacillus	crustorum	LMG 23699T
marine sediment	gliding	not indicated	Lewinella	agarilytica	SST-19T
other	non-motile	no	Tamlana	crocina	HST1-43T 
other	flagella	no	Phycicola	gilvus	SSWW-21
__freshwater sediment (river, lake, pond__	non-motile	no	Bhargavaea	cecembensis	DSE10T
hypersaline environment	__motile, but unspecified structure__	yes	Salirhabdus	euzebyi	CVS-14T
other	non-motile	no	Lactobacillus	ceti	142-2
other		no	Flavobacterium	ceti	454-2T
__freshwater sediment (river, lake, pond__	not indicated	no	Pseudomonas	reinekei	MT1T
__freshwater sediment (river, lake, pond__	not indicated	no	Pseudomonas	moorei	RW10T
wastewater	not indicated	no	Pseudomonas	mohnii	IpA-2T
marine sediment	flagella	no	Devosia	subaequoris	HST3-14T
hypersaline environment	not indicated	yes	Halobacillus	alkaliphilus	FP5
seawater	non-motile	no	Nocardioides	hwasunensis	HFW-21
estuarine sediment	non-motile	no	Marmoricola	aequoreus	SST-45T
wastewater	flagella	no	Gulbenkiania	mobilis	E4FC31T
soil	__motile, but unspecified structure__	yes	Lysinibacillus	parviboronicapiens	BAM-582T
marine sediment	non-motile	no	Tessaracoccus	flavescens	SST-39
other	flagella	no	Paludibacterium	yongneupense	5YN8-15
other	non-motile	no	Streptococcus	merionis	WUE3771T
other	non-motile	no	Wohlfahrtiimonas	chitiniclastica	S5
__freshwater (river, lake, pond)__	flagella	not indicated	Deefgea	rivuli	WB 3.4-79T
other	non-motile	no	Undibacterium	pigrum	CCUG 49009T
other	non-motile	no	Corynebacterium	ureicelerivorans	IMMIB RIV-2301T
soil	flagella	yes	Rhodobacter	johrii	JA192
other	non-motile	no	Lapillicoccus	jejuensis	R-Ac013T
other	non-motile	no	Nocardioides	daphniae	D287
soil	non-motile	yes	Streptomyces	hainanensis	YIM47672T
soil	non-motile	yes	Actinomycetospora	chiangmaiensis	YIM 0006
other	flagella	not indicated	Allochromatium	renukae	JA136
other	non-motile	no	Gemmobacter	changlensis	JA139
other	non-motile	not indicated	Rhodobacter	changlensis	JA139T
soil	not indicated	yes	Actinoplanes	 couchii	GW8-1761T
soil	not indicated	yes	Nocardia 	acidivorans	GW4-1778T
soil	__motile, but unspecified structure__	no	Stenotrophomonas	humi	R-32729T 
soil	__motile, but unspecified structure__	no	Stenotrophomonas	terrae	R-32768T
other	__motile, but unspecified structure__	no	Aquisalimonas	asiatica	CG12T
wastewater		not indicated	Gordonia	malaquae	IMMIBWWCC-22T
seawater	gliding	not indicated	Echinicola	vietnamensis	KMM6221T
other	non-motile	no	Pseudosphingobacterium	domesticum	DC-186T 
hotspring	non-motile	yes	Anoxybacillus	bogrovensis	BT 13
other	non-motile	no	Arthrobacter	defluvii	4C1-a
__freshwater sediment (river, lake, pond__	non-motile	not indicated	Kaistia	defluvii	B6-12
other	gliding	not indicated	Tenacibaculum	discolor	 LL04 11.1.1
other	flagella	yes	Paenibacillus	humicus	PC-147T
other			Sphingomonas	pseudosanguinis	G1-2T
seawater	gliding	not indicated	Tenacibaculum	adriaticum	B390
soil	flagella	no	Pseudoxanthomonas	spadix	 IMMIB AFH-5 T
hypersaline environment	flagella	no	Desulfovibrio	psychrotolerans	JS1
soil	__motile, but unspecified structure__	not indicated	Azospirillum	rugosum	IMMIB AFH-6
human - mouth	non-motile	no	Alloscardovia	omnicolens	CCUG 31649T
plant associated	__motile, but unspecified structure__	not indicated	Burkholderia	endofungorum	HK456T
soil	non-motile	no	Rhodobacter	megalophilus	JA194
seawater	non-motile	no	Brevibacterium	marinum	HFW-26
other	non-motile	no	Prevotella	amnii	CCUG 53648
other	non-motile	no	Ochrobactrum	haematophilum	CCUG38531T
other	non-motile	no	Ochrobactrum	pseudogrignonense	CCUG30717T
marine sediment	non-motile	no	Nocardioides	marinisabuli	SBS-12T
soil	non-motile	not indicated	Nocardia	speluncae	N2-11T
soil	not indicated	not indicated	Jiangella	alkaliphila	D8-87
plant associated	non-motile	no	Burkholderia	bryophila	1S18T
plant associated	non-motile	no	Burkholderia	megapolitana	A3T 
other	not indicated	not indicated	olei	IMMIBHF-1T	IMMIBHF-1T
plant associated	non-motile	no	Chryseobacterium	 luteum	P 456/04T
other	non-motile	no	Mucilaginibacter	gracilis	TPT18T
other	non-motile	no	Mucilaginibacter	gracilis	TPT18T
other	non-motile	no	Mucilaginibacter	gracilis	TPT18T
other	non-motile	no	Mucilaginibacter	paludis	TPT56T
other	non-motile	no	Mucilaginibacter	paludis	TPT56T
other	__motile, but unspecified structure__	no	Ochrobactrum	pituitosum	CCUG 50899
other	non-motile	no	Ochrobactrum	thiophenivorans	DSM 7216
plant associated	__motile, but unspecified structure__	no	Ochrobactrum	rhizosphaerae	PR17
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Pedobacter	duraquae	WB 2.1-25T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Pedobacter	westerhofensis	WB3.3-22T 
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Pedobacter	metabolipauper	WB 2.3-71T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Pedobacter	hartonius	WB 3.3-3T
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	no	Pedobacter	steynii	WB 2.3-45T
marine sediment	non-motile		Thiohalocapsa	marina	JA142T
other	gliding	not indicated	Algibacter	mikhailovii	KMM 6171T 
soil	flagella	no	Pseudomonas	guinae	M8T
hypersaline environment	__motile, but unspecified structure__	yes	Bacillus	chagannorensis	CG-15T
estuarine sediment	__motile, but unspecified structure__	yes	Salsuginibacillus	kocurii	CH9dT
other	flagella	no	Herminiimonas	saxobsidens	NS11T
other	__motile, but unspecified structure__	not indicated	Humibacter	albus	SC-083
marine sediment	gliding	not indicated	Maribacter	polysiphoniae	KMM 6151T
plant associated	__motile, but unspecified structure__	not indicated	Nitratireductor	kimnyeongensis	KY 101T
other	flagella	no	Pelomonas	puraquae	CCUG52769T
other	flagella	not indicated	Roseateles	aquatilis	CCUG 48205
__freshwater (river, lake, pond)__	flagella	not indicated	Roseateles	terrae	CCUG 52222
marine sediment	flagella	no	Marinobacter	guineae	M3B
hypersaline environment	non-motile	yes	Bacillus	isabeliae	CVS-B
wastewater	flagella	no	Pelomonas	aquatica	CCUG52575T
food product	non-motile	not indicated	Leuconostoc	holzapfelii	LMG 23990T
__freshwater sediment (river, lake, pond__	non-motile	not indicated	Rhodobacter	ovatus	JA234
other	non-motile	not indicated	Terrabacter	lapilli	LR-26
soil	non-motile	yes	Promicromonospora	kroppenstedtii	RS16
__freshwater (river, lake, pond)__	flagella	no	Rhodospirillum	sulfurexigens	JA143
estuarine water	__motile, but unspecified structure__	not indicated	Allochromatium	phaeobacterium	JA144T
marine sediment	non-motile	not indicated	Anderseniella	baltica	BA141T
seawater	gliding	no	Maribacter	forsetii	KT02ds18-6
__freshwater (river, lake, pond)__	flagella	not indicated	Rhodoplanes	piscinae	JA266
marine sediment	non-motile	no	Rhodobacter	maris	JA276
seawater	gliding	no	Ekhidna	lutea	BiosLi39
other	gliding	not indicated	Tenacibaculum	soleae	LL04 12.1.7
seawater	gliding	not indicated	Tenacibaculum	gallaicum	A37.1
food product	__motile, but unspecified structure__	yes	Bacillus	cytotoxicus	NVH 391-98
__freshwater (river, lake, pond)__	not indicated	no	Legionella	dresdenensis	W03-356
human - mouth	not indicated	no	Burkholderia	latens	FIRENZE 3
human - mouth	not indicated	no	Burkholderia	diffusa	AU1075
human - mouth	not indicated	no	Burkholderia	arboris	ES0263A
human - mouth	not indicated	no	Burkholderia	seminalis	AU0475
human - mouth	not indicated	no	Burkholderia	metallica	AU0553
other	not indicated	no	Enterorhabdus	mucosicola	Mt1B8T
other	__motile, but unspecified structure__	no	Microbacterium	luticocti	SC-087B
other	__motile, but unspecified structure__	no	Oceaniserpentilla	haliotis	DSM 19503
other	non-motile	no	Chryseobacterium	aquaticum	Oct-46
soil	flagella	no	Thiophaeococcus	mangrovi	JA304
estuarine water	__motile, but unspecified structure__	not indicated	Rhodobacter	aestuarii	JA296T
soil	__motile, but unspecified structure__	no	Rhodovulum	kholense	JA297
plant associated	flagella	not indicated	Kiloniella	laminariae	LD81T
other	non-motile	no	Chryseobacterium	gregarium	P 461/12
other	non-motile	not indicated	Streptococcus	plurextorum	1956-02T
marine sediment	non-motile	not indicated	Desulfopila	inferna	JS_SRB250Lac
other	non-motile	no	Desulfopila	inferna	 JS _ SRB250Lac
other	non-motile	no	Naxibacter	varians	CCUG 35299
other	non-motile	no	Naxibacter	haematophilus	CCUG 38318
other	non-motile		Mycoplasma	mucosicanis	1642T 
other	non-motile	no	Saxeibacter	lacteus	DLS-10
soil	non-motile	no	Ancylobacter	oerskovii	NS05
seawater	non-motile	no	Microbacterium	aquimaris	JS54-2
other	non-motile	yes	Kribbella	catacumbae	BC631
other	non-motile	yes	Kribbella	sancticallisti	BC633
seawater	non-motile	not indicated	Aeromicrobium	ponti	HSW-1
hotspring	__motile, but unspecified structure__	not indicated	Sulfurihydrogenibium	kristjanssonii	I6628
__freshwater (river, lake, pond)__	flagella	not indicated	Phaeospirillum	chandramohanii	JA145T
other	non-motile	not indicated	Singulisphaera	acidiphila	MOB10
other	non-motile	no	Weissella	ghanensis	215
wastewater	non-motile	no	Gordonia	kroppenstedti	NP8-5T
other	not indicated	no	Aquamicrobium	segne	 1006/1
other	not indicated	no	Aquamicrobium	Ahrensii	905/1
other	not indicated	no	Mycobacterium	stomatepiae	T11
other	not indicated	no	Moraxella 	pluranimalium	 248-01T
other	flagella	no	Alteromonas	genovensis	LMG 24078
other	__motile, but unspecified structure__	no	Gordonibacter	pamelaeae 	7-10-1-bT 
other	non-motile	no	Granulicella	pectinivorans	TPB6011
other		no	Granulicella	aggregans	TPB6028
other	non-motile	no	Granulicella	pectinivorans	TPB6011
other	non-motile	no	Granulicella 	paludicola	OB1010
other	non-motile	no	Granulicella	rosea	TPO1014
other	flagella	no	Telmatobacter	bradus	TPB6017
soil	non-motile	not indicated	Leifsonia	kafniensis	KFC-22T
other	flagella	no	Leisingera	aquimarina	LMG 24366
other	__motile, but unspecified structure__	no	Leifsonia	pindariensis	PON10
other	non-motile	no	Halorubrum	kocurii	BG-1
soil	flagella	not indicated	Rhodospirillum	oryzae	JA318
hypersaline environment	__motile, but unspecified structure__	no	Sediminibacillus	halophilus	EN8d
bioreactor	flagella	no	Ruegeria	scottomollicae	LMG 24367
other	non-motile	not indicated	Lactobacillus	fabifermentans	LMG24284T
other	non-motile	not indicated	Lactobacillus	cacaonum	LMG24285T
other	__motile, but unspecified structure__	no	Acetobacter	fabarum	985
seawater	non-motile	not indicated	Acinetobacter	venetianus	RAG-1T 
other	non-motile	no	Aquisalibacillus	elongatus	SH4s
__freshwater (river, lake, pond)__	non-motile	not indicated	Rhodovulum	lacipunicei	JA322T
other	non-motile	no	Corynebacterium	 ulceribovis	IMMIB L-1395T
other	flagella	not indicated	Azospirillum	picis	IMMIB TAR-3T 
plant associated	not indicated	no	Mesorhizobium	metallidurans	STM 2683T
other	non-motile	no	Corynebacterium	sputi	IMMIB L-999
soil	__motile, but unspecified structure__	not indicated	Rhizobium	alamii	GBV016T
other	non-motile	yes	Pullulanibacillus	uraniitolerans	UG-2
other	non-motile	yes	Pullulanibacillus	uraniitolerans	UG-3
other	__motile, but unspecified structure__	not indicated	Arthrobacter	antarcticus	SPC26
marine sediment	non-motile	not indicated	Leifsonia	antarctica	SPC-20T
other	flagella		Campylobacter	Campylobacter subantarcticus	R-3023
other	flagella	not indicated	Campylobacter	subantarcticus	R-3023
hotspring	non-motile	not indicated	Flavobacterium	swingsii	WB 2.3-68T
hotspring	non-motile	not indicated	Flavobacterium	rivuli	WB3.3-2T
hotspring	non-motile	not indicated	Flavobacterium	subsaxonicum	WB 4.1-42T
soil	not indicated	yes	Streptomyces	specialis	GW41-1564
seawater	flagella	no	Nautilia	abyssi	PH1209T
__freshwater (river, lake, pond)__	non-motile	no	Brevibacterium	siliguriense	MB18
soil	__motile, but unspecified structure__	not indicated	Dyella 	marensis	CS5-B2T
human - mouth		yes	Desmospora	activa	IMMIB L-1269T
other	non-motile	no	Agrococcus	versicolor	K 114/01
other	non-motile	no	Leucobacter	tardus	K 70/01
food product	non-motile	no	Leuconostoc	palmae	TMW 2.694T
